Document Name,Protest,Raid,Arrest,Immigration,Enforcement,Violence,Detention,Rights,Safety,Surveillance,Controversy,Inhumane,Resistance,Authority,Fear,Protect,Clash,Stereotype,Cruel,Exploitation,Tragedy,Legal,Investigation,Illegal,Death
0,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735460204,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.043804052,0
0,0,0,0,0.9442802538,0,0,0,0,0,0.7752771032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4087608104,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
0,0,0,0.3748032211,0.6744858955,0.6476993153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2919720075,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0
0,0,0,0.8745408491,0.2623000705,0.3778246006,0,0,0.6088736608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5784867346,0,0,0
1,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.623622547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,0,0,0,1.826620982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.260434964,0,0,0.5722910629,0.6182584373,0,0.2525248388,0,0,0,0,0,0.4154120633,0,0,0,0,0,0.3321129059,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,1.938192758,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.524600141,0.7556492012,0,0.9259244091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.388886614,0,2.082033794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.524600141,0,0,0.9259244091,0,1.388022529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1.658384864,0,0,0,1.041016897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510951013,0
