Document Name,Protest,Raid,Arrest,Immigration,Enforcement,Violence,Detention,Rights,Safety,Surveillance,Controversy,Inhumane,Resistance,Authority,Fear,Protect,Clash,Stereotype,Cruel,Exploitation,Tragedy,Legal,Investigation,Illegal,Death,Security,Rescued,Operation,Response,Raids
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.043804052,0,0,0,0,0,0
0,0,0,0,0.9442802538,0,0,0,0,0,0.7752771032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4087608104,0,0,0,0,0,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021902026,0,0,0,0,0,0
0,0,0,0.3279528184,0.5901751586,0.5667369009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2554755065,0,0.4566552456,0,0,0,0
1,0,0,0,0.524600141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6812680174,0,1.217747322,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.524600141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6812680174,0,1.217747322,0,0,0,0
0,0,0,0.8745408491,0.2623000705,0.3778246006,0,0,0.6088736608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5784867346,0,0,0,0,0,0,0,0
1,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.623622547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,0,0,0,1.826620982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2387320504,0,0,0.524600141,0.5667369009,0,0.2314811023,0,0,0,0,0,0.3807943914,0,0,0,0,0,0.3044368304,0,0,0,0,0,0,0,0,0,0.3470056324,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,1.938192758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.524600141,0.7556492012,0,0.9259244091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.388886614,0,2.082033794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.524600141,0,0,0.9259244091,0,1.388022529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1.326707891,0,0,0,0.8328135177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4087608104,0,0,0.9139065393,0,0,0
