Leaning,Detention,Unlawful,Deportation,Sanctuary,Surveillance,Racial profiling,Litigation,Exploitation,Asylum,Immigration,Policy,Justice,Fraud,Safety,Challenge,Enforcement,Violation,Detainees,Illegal aliens,Resistance
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,1.311811274,0,0,0,0
0,0,0,1.214733266,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.623622547,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.623622547,0,0,0,0
1,1.432392302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311811274,0,0,0,0
1,0,0,2.429466533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.909856403,0,0,0,1.105589909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.9110499499,0,0.414596216,0,0,0,0.9133104912,0.2369230059,0,0,0,0,0,0,0,0,0.414596216,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,1.938192758,0,0,0,0,0,0
0,0,1.292128505,0,0,0,1.388022529,0,0,0,0,0,0,0,0,0,0,1.388022529,0,0,0
0,0,0,0.8098221777,0,0,0,0,0,0,0.6317946824,0,0,0,1.292128505,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.217747322,0.6317946824,1.292128505,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3183094005,0,0.2699407259,2.029578869,0,0,0,0,0,0.2105982275,0,0,0,0,0,0.2915136164,0,0,0,0.5077258552
1,2.046274717,0,0,0,0,0,0,0,0,0,0,0,0,0.5537693594,0,0,0,0.5218917092,0,0
1,0,0,0,0,0,0,0,3.653241965,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.164067588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3.653241965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.864784604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.9476920235,0,0,0,0,0,1.311811274,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
