Leaning,Trump,Biden,Crackdown,Policy,Enforcement,ICE,Deportation,Rights,Misinformation,Sanctuary,Raids,Vetting,Asylum,Security,Controversy,Freedom,Justice,Court,Law,National,Border,Visas,Undocumented,Activists,Government
1,0.3049071523,0,0,0.829192432,0.5930770298,0.4268329539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.6098143046,0,0,0,0,0.8536659078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.790769373,0.5691106052,0,0,0,0,1.388022529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.8130857395,0,0,0,0,0.5691106052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.219628609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06775714496,0.728784041,0,0.1842649849,0.1317948955,0.1897035351,0,0,0,0,0,0,0.2153547509,0.1928289115,0,0,0,0,0,0,0.8222485511,0,0,0,0.1644497102
1,0.1742326585,1.124409663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26861205,0,0,0,0
0,0,2.623622547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6098143046,0.4372704246,0,0,0,0,0,0,0,0,0,0,0,0.5784867346,0,0,0,0,0,0,0.4933491307,0,0,0,0
0,0.4065428697,0,0,0,0.3953846865,0.2845553026,0,0,0,0,0,0,0,0,0,0,0,0.5784867346,0.6940112647,0,0,0,0,0,0
1,0,0,0,0,0,1.707331816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.707331816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1.707331816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1742326585,0,0,0,0,0.2439045451,0.3311772711,0.4958457725,0.6527903852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3968247468,0.6527903852,0
1,0.4065428697,0,0,0,0,0,0.772746966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9259244091,0,0
0,0.6098143046,0.4372704246,0,0,0,0,0.386373483,0,0,0,0,0,0.6460642527,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4878514437,0,0,0,0,0.3414663631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555546455,0,0.5920189568
0,0.5543766405,0,0,0,0.2156643745,0.1552119832,0.2107491725,0.1577691094,0,0.8302822647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4065428697,0,0,0,0,0.5691106052,0,0,0,1.217747322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3049071523,0,0,0,0,0.8536659078,0.5795602245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.219628609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.219628609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4878514437,0,0,0,0,1.024399089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
