threshold_name,threshold_value,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
Default (0.5),0.5,0.5333333333333333,0.5,0.8571428571428571,0.631578947368421,2,6,1,6
Optimal Accuracy,0.20000000000000004,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
Optimal Precision,0.20000000000000004,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
Optimal Recall,0.1,0.5333333333333333,0.5,1.0,0.6666666666666666,1,7,0,7
Optimal F1,0.20000000000000004,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
