Configuration,R2_Score
Set2_30w_K4,0.5410233815763672
Set2_30w_K11,0.5410233815763672
Set2_30w_LOO,0.5410233815763672
Set2_25w_LOO,0.4905662530136291
Set2_25w_K4,0.4905662530136291
Set2_25w_K11,0.4905662530136291
Set1_30w_LOO,0.41236245362449775
Set1_30w_K4,0.41236245362449775
Set1_30w_K11,0.41236245362449775
Set3_30w_LOO,0.40639081843460934
Set3_30w_K11,0.40639081843460934
Set3_30w_K4,0.40639081843460934
Set1_25w_K4,0.37527993497482937
Set1_25w_LOO,0.37527993497482937
Set1_25w_K11,0.37527993497482937
Set3_25w_K4,0.33251887732019314
Set3_25w_K11,0.33251887732019314
Set3_25w_LOO,0.33251887732019314
Set1_20w_LOO,0.33025225893702204
Set1_20w_K11,0.33025225893702204
Set1_20w_K4,0.33025225893702204
Set3_20w_K4,0.3035815732143806
Set3_20w_K11,0.3035815732143806
Set3_20w_LOO,0.3035815732143806
Set2_20w_K11,0.28849146764959865
Set2_20w_LOO,0.28849146764959865
Set2_20w_K4,0.28849146764959865
